Area;Key;Comment;Default language;Comment.fi-FI;.fi-FI;Comment.sv-SE;.sv-SE
Building;laatu__vaat_foreman_personalIdentityCode;The socialSecurityNumber attribute in the Foreman class must meet the formatting requirements for a Finnish personal identity code;The socialSecurityNumber attribute in the Foreman class must meet the formatting requirements for a Finnish personal identity code;Työnjohtaja-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;Työnjohtaja-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;;Attributet personbeteckning i klassen Arbetsledare ska uppfylla formatkraven för en finsk personbeteckning
Building;laatu__vaat_planner_personalIdentityCode;The socialSecurityNumber attribute in the Planner class must meet the formatting requirements for a Finnish personal identity code;The socialSecurityNumber attribute in the Planner class must meet the formatting requirements for a Finnish personal identity code;Suunnittelija-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;Suunnittelija-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;;Attributet personbeteckning i klassen Planerare ska uppfylla formatkraven för en finsk personbeteckning.
Building;quality__req_address_addressName;The addressName attribute in the Address class must meet the formatting requirements;The addressName attribute in the Address class must meet the formatting requirements;"Katunumerossa ei saa esiintyä blankkoja alussa ja/tai lopussa.
Katunimessä pitää esiintyä vähintään yksi pieni tai iso kirjain
Yli yhden merkin mittaisessa katunimessä pitää esiintyä vähintään yksi pieni ja yksi iso kirjain
Katunimessä ei saa esiintyä pelkkiä numeroita";Osoite-luokan osoitenimi-attribuutin tulee täyttää kirjoitusasun muotovaatimukset;"I gatunumret får det inte finnas mellanslag i början och/eller slutet.
Gatunamnet ska innehålla åtminstone en liten eller stor bokstav
I ett gatunamn som är längre än ett tecken ska det finnas minst en liten och en stor bokstav
Gatunamnet får inte bestå enbart av siffror";Attributet adressnamn i klassen adress ska uppfylla formatkraven för skrivsätt
Building;quality__req_addressApartmentIdentifier_apartmentNumber;The value of the letterSuffix or apartmentNumber attribute in the addressApartmentIdentifier must be between 0 and 999.;The value of the letterSuffix or apartmentNumber attribute in the addressApartmentIdentifier must be between 0 and 999.;OsoiterakenteenMukainenHuoneistoTunnus-luokan kirjainosa- tai  numeroOsa-attribuutin arvon tulee olla 0-999.;OsoiterakenteenMukainenHuoneistoTunnus-luokan kirjainosa- tai  numeroOsa-attribuutin arvon tulee olla 0-999.;;Värdet för attributet bokstavsdel eller sifferdel i klassen AdressEnligtByggnadensLägenhetsBetäckning ska vara 0-999.
Building;quality__req_addressApartmentIdentifier_error;Unable to update the apartments address apartmentidentifier in the Population Information System;Unable to update the apartments address apartmentidentifier in the Population Information System;;Huoneiston muuttuvan tunnuksen päivittäminen ei onnistunut VTJ:ssä;;Misslyckades att updatera lägenhetens adress lägenhetsbeteckning i BDS
Building;quality__req_addressKey_mandatory;;An address key (addressKey) must be provided for all addresses.;;Kaikille osoitteille tulee toimittaa osoitteen avain (addressKey).;;
Building;quality__req_addressNumber_sequence;The sequential numbers of the addresses of the building object must be consecutive and start with the number 1;The sequential numbers of the addresses of the building object must be consecutive and start with the number 1;;Rakennuskohteen osoitteiden järjestysnumerot tulee olla juoksevia ja alkaa numerosta 1;;Sekvensnumren på adresserna till byggobjektet måste vara konsekutiva och börja med siffran 1
Building;quality__req_apartment_addressApartmentIdentifier_exists;If the value of the typeOfChange attribute in the Apartment class is '01 - Addition', then the database must not contain an Apartment-class addressApartmentIdentifier attribute for a building with the same identifier;If the value of the typeOfChange attribute in the Apartment class is '01 - Addition', then the database must not contain an Apartment-class addressApartmentIdentifier attribute for a building with the same identifier;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '01 - Lisäys', niin Huoneisto-luokan osoiteHuoneistoTunnus-attribuutin arvoa ei saa löytyä tietokannasta saman tunnuksen rakennukselta;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '01 - Lisäys', niin Huoneisto-luokan osoiteHuoneistoTunnus-attribuutin arvoa ei saa löytyä tietokannasta saman tunnuksen rakennukselta;;Om värdet för attributet ÄndringsTyp i klassen Lägenhet är '01 - Tillägg', får värdet för attributet adressLägenhetsBeteckning i klassen Lägenhet inte finnas i databasen för samma byggnad med samma beteckning.
Building;quality__req_apartment_addressnumber;The address corresponding to the addressNumber attribute in the Apartment class must be found in the related building Object;The address corresponding to the addressNumber attribute in the Apartment class must be found in the related building Object;Huoneisto-luokan Osoitejärjestysnumero-attribuutin mukaisen osoitteen tulee löytyä siihen liittyvältä rakennuskohteelta;Huoneisto-luokan Osoitejärjestysnumero-attribuutin mukaisen osoitteen tulee löytyä siihen liittyvältä rakennuskohteelta;;Adressen som anges med attributet Adressordningsnummer  i klassen Lägenhet ska finnas för det tillhörande byggnadsobjektet
Building;quality__req_apartment_apartmentIdentifier;The value of the permanentApartmentIdentifier attribute in the Apartment class must meet the formatting requirements;The value of the permanentApartmentIdentifier attribute in the Apartment class must meet the formatting requirements;Pysyvän huoneistotunnuksen pituuden tulee olla 10 merkkiä ja sen tulee alkaa merkillä '2'.;Huoneisto-luokan pysyväHuoneistoTunnus-attribuutin arvon  tulee täyttää muotovaatimukset;Den permanenta lägenhetsbeteckningen ska bestå av 10 tecken och börja med tecknet '2'.;Värdet för attributet permanentLägenhetsbeteckning i klassen Lägenhet ska uppfylla formatkraven
Building;quality__req_apartment_apartmentIdentifier_exists;If the value of the typeOfChange attribute in the Apartment class is '01 - Addition', then the database may not contain an Apartment-class permanentApartmentIdentifier attribute;If the value of the typeOfChange attribute in the Apartment class is '01 - Addition', then the database may not contain an Apartment-class permanentApartmentIdentifier attribute;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '01 - Lisäys', niin Huoneisto-luokan pysyväHuoneistoTunnus-attribuutin arvoa ei saa löytyä tietokannasta Huoneistolta;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '01 - Lisäys', niin Huoneisto-luokan pysyväHuoneistoTunnus-attribuutin arvoa ei saa löytyä tietokannasta Huoneistolta;;Om värdet för attributet ÄndringsTyp i klassen Lägenhet är '01 - Tillägg', får värdet för attributet permanentLägenhetsBeteckning i klassen Lägenhet inte finnas i databasen
Building;quality__req_apartment_apartmentIdentifier_not_exists;If the value of the typeOfChange attribute in the Apartment class is '02 - Modification', '03 - Removal', then the database must contain an Apartment-class permanentApartmentIdentifier attribute;If the value of the typeOfChange attribute in the Apartment class is '02 - Modification', '03 - Removal', then the database must contain an Apartment-class permanentApartmentIdentifier attribute;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '02 - Muutos', '03 - Poisto', niin Huoneisto-luokan pysyväHuoneistoTunnus-attribuutin arvo pitää löytyä tietokannasta Huoneistolta;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '02 - Muutos', '03 - Poisto', niin Huoneisto-luokan pysyväHuoneistoTunnus-attribuutin arvo pitää löytyä tietokannasta Huoneistolta;;Om värdet för attributet ÄndringsTyp i klassen Lägenhet är '02 - Ändring', '03 - Borttagning', ska värdet för attributet permanentLägenhetsBeteckning i klassen Lägenhet finnas i databasen
Building;quality__req_apartment_apartmentMustNotExists;The Apartment-class object is not allowed for a new buildingObjectIssue;The Apartment-class object is not allowed for a new buildingObjectIssue;;Huoneisto-luokan objekti ei ole sallittu uudella RakennuskohdeAsialla;;Objekt i klassen lägenhet är inte tillåtet i det nya Byggnadsobjektsärendet
Building;quality__req_apartment_apartmentStorey;The apartmentStorey attribute in the Apartment class is mandatory in a permit issue;The apartmentStorey attribute in the Apartment class is mandatory in a permit issue;huoneisto-luokan sijaintiKerros-attribuutin arvo on pakollinen lupa-asialla;huoneisto-luokan sijaintiKerros-attribuutin arvo on pakollinen lupa-asialla;;Attributet våningsplacering i klassen lägenhet är obligatoriskt i ett tillståndsärende.
Building;quality__req_apartment_apartmentType;If the value of the Type attribute in the Purpose class of a building belongs to the group '01 - Residential buildings', the building must contain at least 1 apartment whose apartmentType attribute value = '01 - Residential apartment';If the value of the Type attribute in the Purpose class of a building belongs to the group '01 - Residential buildings', the building must contain at least 1 apartment whose apartmentType attribute value = '01 - Residential apartment';Jos rakennuksen käyttötarkoitus-luokan laji-attribuutin arvo kuuluu ryhmään '01 - Asuinrakennukset', niin rakennuksen tulee sisältää vähintään 1 huoneisto, jonka huoneistoLaji-attribuutin arvo =  '01 - Asuinhuoneisto';Jos rakennuksen käyttötarkoitus-luokan laji-attribuutin arvo kuuluu ryhmään '01 - Asuinrakennukset', niin rakennuksen tulee sisältää vähintään 1 huoneisto, jonka huoneistoLaji-attribuutin arvo =  '01 - Asuinhuoneisto';;Om värdet för ett attribut för i klassen ByggnadensAnvändningssyfte hör till grupp '01 - Bostadsbyggnader', ska byggnaden innehålla minst 1 lägenhet, vars värde för attributet lägenhetstyp = '01 - Bostadslägenhet'
Building;quality__req_apartment_commissioningDate;The commissioningDate attribute in the Apartment class must be empty when creating a new buildingPermitIssue ;The commissioningDate attribute in the Apartment class must be empty when creating a new buildingPermitIssue ;Huoneisto-luokan Käyttöönottopäivämäärä-attribuutin tulee olla tyhjä, jos luodaan uutta Rakentamislupa-asiaa ;Huoneisto-luokan Käyttöönottopäivämäärä-attribuutin tulee olla tyhjä, jos luodaan uutta Rakentamislupa-asiaa ;;Attributet ibruktagningsdatum i klassen Lägenhet ska vara tomt om ett nytt Bygglovsärende skapas 
Building;quality__req_apartment_floorArea;If the value of the Apartment-class apartmentType attribute = '01 - Residential buildings', the value of the floorArea attribute must be > 7;If the value of the Apartment-class apartmentType attribute = '01 - Residential buildings', the value of the floorArea attribute must be > 7;"laatu/vaat-huoneistoala
Mikäli Huoneisto-luokan objektilla on attribuutin huoneistoala arvo, sen arvon tulee olla kokonaisluku väliltä 1 - 99999 (1 - 10^5), ja yksikkö neliömetri (m2).";Jos huoneisto-luokan huoneistoLaji-attribuutin arvo = '01 - Asuinrakennukset', niin huoneistoala-attribuutin arvon on oltava > 7;"kvalitet/krav-lägenhetsyta
Om ett objekt av klassen Lägenhet har ett värde för attributet lägenhetsyta, ska dess värde vara ett heltal mellan 1 - 99999 (1 - 10^5) och enheten kvadratmeter (m2).";Om värdet för attributet lägenhetstyp i klassen lägenhet = '01 - Bostadsbyggnader', ska värdet för attributet lägenhetsyta > 7
Building;quality__req_apartment_kitchenType;If the value of the Apartment-class apartmentType attribute = '01 - Residential buildings', the kitchenType attribute must be given a value;If the value of the Apartment-class apartmentType attribute = '01 - Residential buildings', the kitchenType attribute must be given a value;Jos huoneisto-luokan huoneistoLaji-attribuutin arvo = '01 - Asuinrakennukset', niin keittiötyyppi-attribuutin arvo on pakollinen;Jos huoneisto-luokan huoneistoLaji-attribuutin arvo = '01 - Asuinrakennukset', niin keittiötyyppi-attribuutin arvo on pakollinen;;Om värdet för attributet lägenhetstyp i klassen lägenhet = '01 - Bostadsbyggnader', är värdet för kökstyp obligatoriskt
Building;quality__req_apartment_lifeCycleState_buildingObject;The lifeCycleState attribute in the Apartment class must be '3 - Move-in ready', '4 - In use','5 Subject to a moving ban','6 - Demolished', '7 - Destroyed', '8 - Removed', '9 - Combined or shared' when the issue concerns a buildingObjectIssue;The lifeCycleState attribute in the Apartment class must be '3 - Move-in ready', '4 - In use','5 Subject to a moving ban','6 - Demolished', '7 - Destroyed', '8 - Removed', '9 - Combined or shared' when the issue concerns a buildingObjectIssue;Huoneisto-luokan elinkaarenVaihe-attribuutin arvon tulee olla '3 - Muuttovalmis', '4 - Käytössä','5 - Muuttokiellossa','6 - Purettu','7 - Tuhoutunut','8 - Poistettu','9 - Yhdistetty tai jaettu', kun kyseessä on RakennuskohdeAsia;Huoneisto-luokan elinkaarenVaihe-attribuutin arvon tulee olla '3 - Muuttovalmis', '4 - Käytössä','5 - Muuttokiellossa','6 - Purettu','7 - Tuhoutunut','8 - Poistettu','9 - Yhdistetty tai jaettu', kun kyseessä on RakennuskohdeAsia;;Värdet för attributet livscykelskede i klassen Lägenhet ska vara '3 - Flyttfärdig', '4 - Används','5 - Flyttförbud','6 - Riven','7 - Förstörd','8 - Borttagen','9 - Kombinerad eller delad’ när det är fråga om ett Byggobjektärende
Building;quality__req_apartment_lifeCycleState_new;The value of the lifeCycleState attribute in the Apartment class must be '01 - planned' when calling for the creation of a new issue.;The value of the lifeCycleState attribute in the Apartment class must be '01 - planned' when calling for the creation of a new issue.;Huoneisto-luokan elinkaarenVaihe-attribuutin arvon tulee olla '01 - suunnitteilla', jos kutsutaan uuden asian luontia.;Huoneisto-luokan elinkaarenVaihe-attribuutin arvon tulee olla '01 - suunnitteilla', jos kutsutaan uuden asian luontia.;;Värdet för attributet livscykelskede i klassen Lägenhet ska vara '01 - under planering', när ett nytt ärende skapas.
Building;quality__req_apartment_lifeCycleState_update;The value of the lifeCycleState attribute in the Apartment class must be '01 - planned' or '02 - under construction' when calling for an update to an issue.;The value of the lifeCycleState attribute in the Apartment class must be '01 - planned' or '02 - under construction' when calling for an update to an issue.;Huoneisto-luokan elinkaarenVaihe-attribuutin arvon tulee olla '01 - suunnitteilla' tai '02 - rakenteilla', jos kutsutaan asian päivitystä.;Huoneisto-luokan elinkaarenVaihe-attribuutin arvon tulee olla '01 - suunnitteilla' tai '02 - rakenteilla', jos kutsutaan asian päivitystä.;;Värdet för attributet livscykelskede i klassen Lägenhet ska vara '01 - under planering’ eller '02 - under konstruktion vid uppdatering av ärendet.
Building;quality__req_apartment_numberOfEquipment;If an apartmentEquipment-class object has a numberOfEquipment attribute value, this value must be an integer between 1 and 99 without any unit data.;If an apartmentEquipment-class object has a numberOfEquipment attribute value, this value must be an integer between 1 and 99 without any unit data.;Mikäli HuoneistonVaruste-luokan objektilla on attribuutin varusteenLukumäärä arvo, sen arvon tulee olla kokonaisluku väliltä 1 - 99 ilman yksikkötietoa.;Mikäli HuoneistonVaruste-luokan objektilla on attribuutin varusteenLukumäärä arvo, sen arvon tulee olla kokonaisluku väliltä 1 - 99 ilman yksikkötietoa.;;Om ett objekt av klassen Lägenhetensutrustning har ett värde för attributet antalutrustningar, ska dess värde vara ett heltal mellan 1 - 99 utan enhetsinformation.
Building;quality__req_apartment_numberOfRooms;If an object in the Apartment class has a numberOfRooms attribute value, this value must be an integer between 1 and 99;If an object in the Apartment class has a numberOfRooms attribute value, this value must be an integer between 1 and 99;"laatu/vaat-huoneisto-huoneiden-lkm
Mikäli Huoneisto-luokan objektilla on attribuutin huoneidenLukumäärä arvo, sen arvon tulee olla kokonaisluku väliltä 1 - 99 ilman yksikkötietoa.";Mikäli Huoneisto-luokan objektilla on attribuutin huoneidenLukumäärä arvo, sen arvon tulee olla kokonaisluku väliltä 1 - 99;"kvalitet/krav-lägenhet-rumantal
Om ett objekt av klassen Lägenhet har ett värde för attributet rumantal, ska dess värde vara ett heltal mellan 1 - 99 utan enhetsinformation.";Om ett objekt i klassen Lägenhet har ett värde för attributet Rumantal, ska dess värde vara ett heltal inom intervallet 1 - 99
Building;quality__req_apartment_removal_unsuccessful;Unable to delete apartment {0} from the Population Information System;Unable to delete apartment {0} from the Population Information System;;Huoneiston {0} poisto ei onnistunut VTJ:stä;;Misslyckades att ta bort lägenheten {0} från BDS
Building;quality__req_apartment_residence_check;Unable to delete apartment {0} from the Population Information System, because of residency;Unable to delete apartment {0} from the Population Information System, because of residency;;Huoneistoa ({0}) ei voitu merkitä poistetuksi, koska siihen kohdistuu VTJ:n mukaan asumista.;;Misslyckades att ta bort lägenheten {0} från BDS för boende
Building;quality__req_apartment_TypeOfChange_1;If the value of the constructionAction-class typeOfConstructionAction attribute = '01', then the typeOfChange attribute must be '01 - Addition';If the value of the constructionAction-class typeOfConstructionAction attribute = '01', then the typeOfChange attribute must be '01 - Addition';Jos Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '01', niin MuutoksenLaji-attribuutin pitää olla '01 - Lisäys';Jos Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '01', niin MuutoksenLaji-attribuutin pitää olla '01 - Lisäys';;Om värdet för attributet åtgärdstyp i klassen Byggåtgärd = '01', ska värdet för attributet ändringstyp vara '01 - Tillägg'
Building;quality__req_apartment_TypeOfChange_6;If the value of the constructionAction-class typeOfConstructionAction attribute = '06', then the typeOfChange attribute must be '03 - Removal' or '02 - Modification';If the value of the constructionAction-class typeOfConstructionAction attribute = '06', then the typeOfChange attribute must be '03 - Removal' or '02 - Modification';Jos Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '06', niin MuutoksenLaji-attribuutin pitää olla '03 - poisto' tai '02 - muutos';Jos Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '06', niin MuutoksenLaji-attribuutin pitää olla '03 - poisto' tai '02 - muutos';;Om värdet för attributet åtgärdstyp i klassen Byggåtgärd = '06', ska värdet för attributet ändringstyp vara '03 - borttagning’ eller '02 - ändring'
Building;quality__req_apartment_TypeOfChangeWithoutPermit_1;If the value of the constructionAction-class typeOfConstructionAction attribute = '01' in a buildingObjectIssue, then the typeOfChange attribute must be '03 - delete' or '02 - change';If the value of the constructionAction-class typeOfConstructionAction attribute = '01' in a buildingObjectIssue, then the typeOfChange attribute must be '03 - delete' or '02 - change';Jos RakennuskohdeAsian Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '01', niin MuutoksenLaji-attribuutin pitää olla '03 - poisto' tai '02 - muutos';Jos RakennuskohdeAsian Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '01', niin MuutoksenLaji-attribuutin pitää olla '03 - poisto' tai '02 - muutos';;Om värdet för attributet åtgärdstyp i klassen Byggåtgärd = '01' i byggnadsobjektsärende, ska värdet för attributet ändringstyp vara '03 - radering' eller '02 - ändring'
Building;quality__req_apartment_TypeOfChangeWithoutPermit_9;If the value of typeOfConstructionAction attribute in the BuildingObjectIssue = '09', then the typeOfChange attribute must be '03 - Removal' or '02 - Modification';If the value of typeOfConstructionAction attribute in the BuildingObjectIssue = '09', then the typeOfChange attribute must be '03 - Removal' or '02 - Modification';Jos RakennuskohdeAsian Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '09', niin MuutoksenLaji-attribuutin pitää olla '03 - poisto' tai '02 - muutos';Jos RakennuskohdeAsian Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo = '09', niin MuutoksenLaji-attribuutin pitää olla '03 - poisto' tai '02 - muutos';;Om värdet för attributet åtgärdstyp i Byggobjektärende = '09', ska värdet för attributet ändringstyp vara '03 - borttagning’ eller '02 - ändring'
Building;quality__req_apartment_uuid;The identifier (UUID) of an Apartment-class object may not be changed when updating a permit issue.;The identifier (UUID) of an Apartment-class object may not be changed when updating a permit issue.;Huoneisto-luokan objektin tunniste (UUID) ei saa muuttua lupa-asian päivityksessä.;Huoneisto-luokan objektin tunniste (UUID) ei saa muuttua lupa-asian päivityksessä.;;Beteckningen (UUID) för ett objekt i klassen Lägenhet får inte ändras vid uppdatering av ett tillståndsärende.
Building;quality__req_apartmentIdentifierLetterSuffix_format;The apartmentIdentifierLetterSuffix in the contactAddress class must be 1 character with an uppercase letter as its value;The apartmentIdentifierLetterSuffix in the contactAddress class must be 1 character with an uppercase letter as its value;Yhteysosoite-luokan huoneistotunnuksenKirjainosa-attribuutin tulee olla 1 merkki, ja arvo on iso kirjain;Yhteysosoite-luokan huoneistotunnuksenKirjainosa-attribuutin tulee olla 1 merkki, ja arvo on iso kirjain;;Attributet BokstavsdelenAvLägenhetbeteckningen i klassen Kontaktadress ska vara 1 tecken, och värdet ska vara en stor bokstav
Building;quality__req_apartmentIdentifierNumber_format;The apartmentIdentifierNumber in the contactAddress class must be an integer between 1 and 999;The apartmentIdentifierNumber in the contactAddress class must be an integer between 1 and 999;Yhteysosoite-luokan huoneistotunnuksenNumeroOsa-attribuutin tulee olla kokonaisluku on välillä 1 -999;Yhteysosoite-luokan huoneistotunnuksenNumeroOsa-attribuutin tulee olla kokonaisluku on välillä 1 -999;;Attributet NummerdelenAvLägenhetsnumret i klassen Kontaktadress ska vara ett heltal mellan 1 och 999
Building;quality__req_apartmentIdentifierSubdivisionLetter_format;The apartmentIdentifierSubdivisionLetter in the contactAddress class must be 1 character with an lowercase letter as its value;The apartmentIdentifierSubdivisionLetter in the contactAddress class must be 1 character with an lowercase letter as its value;Yhteysosoite-luokan huoneistotunnuksenJakokirjain-attribuutin tulee olla 1 merkki, ja arvo on pieni kirjain;Yhteysosoite-luokan huoneistotunnuksenJakokirjain-attribuutin tulee olla 1 merkki, ja arvo on pieni kirjain;;Attributet DelningsbokstavAvLägenhetbeteckningen i klassen Kontaktadress ska vara 1 tecken, och värdet ska vara en liten bokstav
Building;quality__req_application_lifecycle;The value of the lifeCycleState attribute in the buildingPermitApplication class must be '2 - Submitted';The value of the lifeCycleState attribute in the buildingPermitApplication class must be '2 - Submitted';Rakentamislupahakemus-luokan elinkaaritila-attribuutin arvo tulee olla '2 - Jätetty';Rakentamislupahakemus-luokan elinkaaritila-attribuutin arvo tulee olla '2 - Jätetty';;Attributet livscykelstatus i klassen AnsökanOmByggnadstillstånd ska vara '2 - Inlämnad'
Building;quality__req_area_to_be_built_for_specific_activities_decision_administrative_location_unit_with_permit;;The decisionAdministrativeLocationUnit attribute in the AreaToBeBuiltForSpecificActivities class is mandatory in a permit issue;;ErityistäToimintaaVartenRakennettavaAlue-luokan myöntöAjanhallinnollinenSijaintiYksikkö-attribuutin arvo on pakollinen lupa-asialla;;Attributet beslutsAdministrativPlatsenhet i klassen OmrådeByggtförSärskildVerksamhet är obligatorisk i ett tillståndsärende
Building;quality__req_areaToBeBuiltForSpecificActivites_specificActivitiesAreaArea;;ErityistäToimintaaVartenRakennettavaAlue-luokan kohteen ErityisenToiminnanAlueenAla -attribuutin arvon tulee olla positiivinen kokonaisluku;;ErityistäToimintaaVartenRakennettavaAlue-luokan kohteen ErityisenToiminnanAlueenAla -attribuutin arvon tulee olla positiivinen kokonaisluku;;
Building;quality__req_assemblyFacility_capacityOfAssemblyFacilities;The value of the capacityOfAssemblyFacilities attribute in the assemblyFacility class must be > 0;The value of the capacityOfAssemblyFacilities attribute in the assemblyFacility class must be > 0;Kokoontumistila-luokan kokoontumistilanHenkilömäärä-attribuutin arvon tulee olla > 0;Kokoontumistila-luokan kokoontumistilanHenkilömäärä-attribuutin arvon tulee olla > 0;;Värdet för attributet SamlingslokalensPersonantal i klassen Samlingslokal ska vara > 0
Building;quality__req_attachment_mimetype_ifc_ifczip;Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/x-step tai application/zip.;Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/x-step tai application/zip.;;Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/x-step tai application/zip.;;
Building;quality__req_attachment_mimetype_pdf_tiff;Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/pdf tai image/tiff.;Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/pdf tai image/tiff.;;Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/pdf tai image/tiff.;;
Building;quality__req_building_addChangeEvent;A Building-class addChangeEvent attribute is only allowed in a buildingObjectIssue;A Building-class addChangeEvent attribute is only allowed in a buildingObjectIssue;Rakennus-luokan lisääMuutostapahtuma-attribuutin arvo on sallittu vain RakennuskohdeAsialla;Rakennus-luokan lisääMuutostapahtuma-attribuutin arvo on sallittu vain RakennuskohdeAsialla;;Attributet för att läggaTillÄndringshändelse i klassen Byggnad är endast tillåtet för ett ByggnadsobjektsÄrende
Building;quality__req_building_AreaToBeBuiltForSpecificActivitiesKey_exists;"If the value of the measureType attribute in the constructionAction class is ""01 - New building or structure"", then the database may not contain a AreaToBeBuiltForSpecificActivities-class key attribute";">If the value of the measureType attribute in the constructionAction class is ""01 - New building or structure"", then the database may not contain a AreaToBeBuiltForSpecificActivities-class key attribute";"Jos Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo on ""01 - Uusi rakennus tai rakennelma"", niin ErityistäToimintaaVartenRakennettavaAlue-luokan avainattribuutin arvoa ei saa löytyä tietokannasta ErityistäToimintaaVartenRakennettavaAlueelta";"Jos Rakentamistoimenpide-luokan toimenpiteenLaji-attribuutin arvo on ""01 - Uusi rakennus tai rakennelma"", niin ErityistäToimintaaVartenRakennettavaAlue-luokan avainattribuutin arvoa ei saa löytyä tietokannasta ErityistäToimintaaVartenRakennettavaAlueelta";;"Om värdet för attributet åtgärdstyp i klassen ByggÅtgärd är ""01 - Ny byggnad eller konstruktion"", får värdet för attributet key i klassen OmrådeByggtFörSärskildVerksamhet inte finnas i databasen"
Building;quality__req_building_demolition_successful;Deletion of building {0} from the Population Information System succeeded;Deletion of building {0} from the Population Information System succeeded;;Rakennuksen {0} poisto onnistui VTJ:stä;;Lyckades att ta bort byggnaden {0} från BDS
Building;quality__req_building_demolition_unsuccessful;Unable to delete building {0} from the Population Information System;Unable to delete building {0} from the Population Information System;;Rakennuksen {0} poisto ei onnistunut VTJ:stä;;Misslyckades att ta bort byggnaden {0} från BDS
Building;quality__req_building_demolitionDeadline;The demolitionDeadline attribute in the Building class may not be given a value when calling for an update to an incomplete Digital and Population Data Services Agency project.;The demolitionDeadline attribute in the Building class may not be given a value when calling for an update to an incomplete Digital and Population Data Services Agency project.;Rakennus-luokan purkamisenMääräaika-attribuutin arvo on pakollinen ja sallittu vain, jos tilapäinen-attribuutti = 'true';Rakennus-luokan purkamisenMääräaika-attribuutin arvo on pakollinen ja sallittu vain, jos tilapäinen-attribuutti = 'true';;Värdet för attributet Tidsfrist för rivning i byggnadsklassen är obligatoriskt och tillåtet endast om det tillfälliga attributet = 'true'
Building;quality__req_building_floorCount;The value of the floorCount attribute in the Building class must be between 1 and 99;The value of the floorCount attribute in the Building class must be between 1 and 99;"laatu/vaat-rakennuksen-kerrosluku
Mikäli UlkokuorenTiedot-luokan objektilla on attribuutin kerrosluku arvo, sen arvon tulee olla kokonaisluku väliltä 1 - 99 ilman yksikkötietoa.
";Rakennus-luokan kerrosluku-attribuutin arvon tulee olla välillä 1 - 99;"kvalitet/krav-byggnadens-våningsantal
Om ett objekt av klassen YttreskalsUppgifter har ett värde för attributet antal våningar, ska detta värde vara ett heltal mellan 1 - 99 utan enhetsinformation.
";värdet för attributet för våningstal i byggnadsklassen ska vara mellan 1 och 99
