Area;Key;Comment;Default language;Comment.fi-FI;.fi-FI;Comment.sv-SE;.sv-SE
Plan;lifecycle__req_geom_spatialplancase_spatialplan_geographicarea_unity;The geographical area of the PlanMatter class and the Plan class must be consistent in the Approved plan life-cycle status.;The geographical area of the PlanMatter class and the Plan class must be consistent in the Approved plan life-cycle status.;;KaavaAsia-luokan ja Kaava-luokan aluerajaus tulee olla yhtenevä Hyväksytty kaava-elinkaaritilassa.;;Områdesavgränsningen för Planärende-klassen och Plan-klassen ska enhetlig ha livscykelstatus Godkänd plan.
Plan;lifecycle__req_handlingevent_without_planmatterdecision_not_allowed_appeal_lifecycle;There is no decision class, a processing event type must also not be given.;The Processing event class is not allowed without the PlanMatterDecision class when the value of the PlanMatterPhase class’s life-cycle status attribute is subject to a complaint;;Käsittelytapahtuma-luokka ei sallittu ilman KaavaAsianPäätös-luokkaa, kun KaavaAsianVaihe-luokan elinkaaritila-attribuutin arvo on valituksen alainen;;Handläggningshändelse-klass är inte tillåten utan PlanÄrendeBeslut-klass när PlanÄrendeSkede-klassen attribut i livscykelstatus är överklagad
Plan;lifecycle__req_initial_lifecycle_not_allowed;The plan can only be imported for the first time in phases initiated, preparation, plan proposal, amended plan proposal, approved plan, subject to a complaint, valid.;Invalid Plan matter’s first life-cycle phase {0}. Permitted first phases: initiated, preparation, plan proposal, amended plan proposal, approved plan, subject to a complaint, valid;;Virheellinen Kaava-asian ensimmäinen elinkaaren vaihe {0}. Sallitut ensimmäiset vaiheet: vireilletullut, valmistelu, kaavaehdotus, muutettu kaavaehdotus, hyväksytty kaava, valituksen alainen, voimassa;;Felaktig första fas för planärendets livscykelstatus {0}. Tillåtna första faser: anhängiggjord, beredning, planförslag, ändrat planförslag, godkänd plan, överklagad, giltig
Plan;lifecycle__req_interactionevents_codevalue_interactioneventtype;At least one interaction event must have type {0}, if life cycle is {1}.;At least one interaction event must have type {0}, if life cycle is {1}.;;Ainakin yhden vuorovaikutustapahtuman tyypin on oltava {0}, jos elinkaari on {1}.;;Minst en interaktionshändelse måste ha typen {0}, om livscykeln är {1}.
Plan;lifecycle__req_interactionevents_codevalue_regionalplan_interactioneventtype;At least one interaction event must have type {0} or {1} if the life cycle is {2} and the plan type is {3} or {4}.;At least one interaction event must have type {0} or {1} if the life cycle is {2} and the plan type is {3} or {4}.;;Ainakin yhden vuorovaikutustapahtuman tyypin on oltava {0} tai {1}, jos elinkaari on {2} ja kaavalaji on {3} tai {4}.;;Minst en interaktionshändelse måste ha typen {0} eller {1} om livscykeln är {2} och typ av plan är {3} eller {4}.
Plan;lifecycle__req_land_use_restriction_initial_lifecycle_not_allowed;Invalid first phase of land use restriction. Permitted first phase is valid.;Invalid first phase of land use restriction. Permitted first phase is valid.;;Virheellinen alueidenkäytön rajoituksen ensimmäinen vaihe. Sallittu ensimmäinen vaihe on voimassa.;;
Plan;lifecycle__req_landuserestriction_decision_handlingevent_unity;;In partially repealed case, HandlingEvent Type must be http://uri.suomi.fi/codelist/rytj/alueidenkaytonRajoituksenKasittelytapahtumanLaji/code/04 and Decision Name must be http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0406;;Alueideinkäytön rajoituksen kumoutuessa osittain, tulee käsittelytapahtuman olla http://uri.suomi.fi/codelist/rytj/alueidenkaytonRajoituksenKasittelytapahtumanLaji/code/04 ja päätöksen nimen tulee olla http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0406;;
Plan;lifecycle__req_landuserestriction_not_allowed_repealed;;The LandUseRestriction class must be empty in repealed phase;;Kumoutunut vaiheessa Alueidenkäytön rajoitus-luokka ja sen kohteet eivät ole sallittuja;;
Plan;lifecycle__req_landuserestrictiondecision_following_phase;;In the following phases the Decision Name must be http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0401, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0402, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0403, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0404 or http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0406;;Seuraavissa vaiheissa Alueidenkäytön päätöksen nimen tulee olla olla Voimassa elinkaaritilassa http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0401, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0402, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0403, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0404 tai http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0406;;
Plan;lifecycle__req_landuserestrictiondecision_name_first_phase;;In the first phase the Decision Name must be http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0401, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0402, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0403 or http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0404;;Ensimmäisessä vaiheessa Alueidenkäytön päätöksen nimen tulee olla Voimassa elinkaaritilassa http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0401, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0402, http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0403 tai http://uri.suomi.fi/codelist/rytj/AlueidenkaytonPaatoksenNimi/code/0404;;
